PartnerID,PartnerName,Location,Industry,ContactPerson,Email,Active
1056,Pinnacle Systems ,Boston,Technology,Michael Wilson,info@globaltech.com,False
1057,NextGen      Solutions,Boston,Retail,John Doe,hello@blueocean.com,False
1058,NextGen Solutions Co..,Los Angeles,Technology,Jane Smith,support@nextgen.com,False
1059,Vertex Dynamics Ltd. . ,Chicago,Education,Alice Johnson,sales@synergy.com,False
1060,Vertex Dynamics Ltd. .,Chicago,Technology,Alice Johnson,support@nextgen.com,False
1061,QuantumSoft Inc. . ,New York,Finance,Jane Smith,sales@synergy.com,True
1062,QuantumSoft Inc..,Miami,Energy,Michael Wilson,hello@blueocean.com,True
1063,FutureVision Co..,Boston,Education,Jane Smith,contact@acme.com,False
1064,FutureVision         Co.,Boston,Education,Emily Davis,hello@blueocean.com,False
1065,BlueOcean Ventures Inc.,Los Angeles,Finance,Robert Brown,sales@synergy.com,True
1066,Innovatech Holdings Inc. . ,Miami,Healthcare,Emily Davis,contact@acme.com,False
1067,Innovatech Holdings Inc. . ,Los Angeles,Education,Robert Brown,support@nextgen.com,True
1068,Pinnacle Systems Corporation.,Seattle,Healthcare,Jane Smith,hello@blueocean.com,True
1069,QuantumSoft Inc. .,Seattle,Retail,Michael Wilson,contact@acme.com,False
1070,Innovatech Holdings Inc.,Boston,Retail,Jane Smith,hello@blueocean.com,True
1071,Vertex Dynamics Ltd.,Seattle,Finance,Robert Brown,info@globaltech.com,True
1072,Pinnacle Systems Co. . ,New York,Energy,Jane Smith,support@nextgen.com,True
1073,Synergy Group Ltd. .,Boston,Healthcare,John Doe,contact@acme.com,False
1074,Global Tech Inc. . ,Boston,Education,John Doe,support@nextgen.com,True
1075,NextGen Solutions Co..,Miami,Healthcare,Robert Brown,support@nextgen.com,True
1076,FutureVision Co. .,Chicago,Energy,Emily Davis,hello@blueocean.com,True
1077,Acme Corporation Ltd..,Seattle,Retail,John Doe,info@globaltech.com,False
1078,BlueOcean Ventures Inc.,Chicago,Healthcare,John Doe,support@nextgen.com,True
1079,QuantumSoft Inc. . ,Los Angeles,Finance,Robert Brown,sales@synergy.com,True
1080,Pinnacle Systems Co. .,San Francisco,Healthcare,Alice Johnson,hello@blueocean.com,True
1081,Pinnacle Systems Co..,San Francisco,Finance,Robert Brown,hello@blueocean.com,True
1082,Synergy Group Ltd. .,New York,Retail,Alice Johnson,contact@acme.com,False
1083,BlueOcean Ventures Inc.,Boston,Technology,Michael Wilson,sales@synergy.com,True
1084,Acme Corporation Ltd. . ,San Francisco,Retail,Michael Wilson,sales@synergy.com,True
1085,FutureVision Co..,Los Angeles,Technology,Emily Davis,hello@blueocean.com,False
1086,BlueOcean Ventures Inc.,Boston,Education,John Doe,support@nextgen.com,False
1087,Vertex Dynamics Ltd. .,Chicago,Retail,Emily Davis,info@globaltech.com,True
1088,FutureVision Co. .,New York,Technology,Alice Johnson,sales@synergy.com,True
1089,FutureVision Co..,Miami,Energy,Robert Brown,contact@acme.com,True
1090,QuantumSoft Inc..,Miami,Energy,Jane Smith,contact@acme.com,False
1091,Vertex Dynamics Ltd..,Seattle,Retail,Michael Wilson,hello@blueocean.com,True
1092,Pinnacle Systems Co..,Miami,Education,Alice Johnson,sales@synergy.com,False
1093,NextGen Solutions Co.,Los Angeles,Finance,John Doe,info@globaltech.com,False
1094,BlueOcean Ventures,Miami,Retail,Robert Brown,info@globaltech.com,False
1095,Innovatech Holdings Inc.,Austin,Technology,John Doe,info@globaltech.com,True
1096,Quantum  Soft Inc. .,San Francisco,Retail,Jane Smith,support@nextgen.com,True
1097,Vertex Dynamics Ltd. .,New York,Healthcare,Robert Brown,support@nextgen.com,True
1098,NextGen Solutions Co. . ,New York,Technology,Emily Davis,hello@blueocean.com,False
1099,Innovatech Holdings Inc. .,San Francisco,Technology,Jane Smith,sales@synergy.com,False
